,epoch,daz,cc_azi,cc_range,daz_iono,daz_SET,drg_iono_mm,dTECS,drg_SET_mm
105,2018-01-01,-0.00692791,0.00758,0.0095,,0.0004136384961052688,-50.5800556169776,-3.665873294496202e+16,-131.395630741861
106,2018-01-13,-0.0182083,0.01635,0.02772,,0.0006846496147762515,26.577422859763324,1.9262427355939136e+16,-24.61407722804572
107,2018-01-25,-0.009291,0.00864,0.04809,,0.001162068994654768,65.550652888551,4.750892123975258e+16,126.23515675690427
108,2018-02-06,-0.0154122,0.02225,0.04511,,0.001129278734260017,109.06299182340518,7.904520947364851e+16,97.34380186605561
109,2018-02-18,-0.0159889,0.01897,0.16701,,0.00026385483835260674,144.64548243888032,1.048342088149518e+17,-60.96022603794025
110,2018-03-02,-0.0160408,0.02754,0.16881,,1.5576307288498708e-05,206.62094508574262,1.4975195171971046e+17,-131.4283393661099
111,2018-03-14,-0.0167879,0.01879,0.11599,,0.0005065112047739878,116.72649593729595,8.459946099249107e+16,-50.74878695133491
112,2018-03-26,-0.0092924,0.01586,0.13212,,0.0018529200199899776,242.34812855632796,1.756458196039568e+17,71.94260388524607
113,2018-04-07,-0.0129828,0.02331,0.09713,,0.0019773396852340005,162.04401606940053,1.174440841939954e+17,68.7503310401536
114,2018-05-01,-0.0172258,0.02725,0.14665,,0.00023604348016341854,190.55448122768271,1.3810751596814502e+17,-102.76499990075702
115,2018-05-13,-0.0170123,0.02335,0.12924,,-0.0009818686784464562,106.95607217681365,7.751818456790746e+16,-64.0426702648022
116,2018-05-25,-0.0204647,0.02579,0.04313,,-0.0006885542271715678,53.86278747322144,3.903794722181562e+16,25.040857799102934
117,2018-06-18,-0.0204672,0.02787,0.01673,,0.002107995803416492,66.5772094964909,4.825293514176029e+16,79.20706437008108
118,2018-06-30,-0.0194641,0.02501,0.0923,,0.0006742762895471163,52.39431390294878,3.797364668294291e+16,-77.74290657460791
119,2018-07-06,-0.00212953,0.00934,-0.06205,,0.00014086712151321201,50.95681860208668,3.693179815784454e+16,119.46003191514251
120,2018-07-12,-0.0224158,0.02187,0.03938,,-0.0014760918929726322,-8.941931640850022,-6480813040545536.0,-121.37964279259278
121,2018-07-18,-0.00332337,0.01462,-0.02642,,0.0008487274237896284,123.10829578338242,8.92247761174384e+16,111.59353626347831
122,2018-07-24,-0.0191661,0.02057,0.06914,,-0.0018833249787225568,71.27583069801082,5.16583386695935e+16,-23.19149977488442
123,2018-07-30,-2.36954e-05,0.01137,0.01354,,0.0007060844327612459,40.67476348247261,2.9479708432802944e+16,-65.56766571047014
124,2018-08-05,-0.0172435,0.02535,0.01973,,-0.0012500253629377067,70.30986791750065,5.095824114748621e+16,124.94889944259248
125,2018-08-11,-0.00479807,0.00981,0.01368,,-0.0007018177763314998,27.40410157404857,1.9861576444420864e+16,-138.93724870365432
126,2018-08-17,-0.0178953,0.01833,0.01956,,-0.0005543899295992075,60.5497332622215,4.388442192229242e+16,106.93749646118621
127,2018-08-23,-0.00099464,-0.00354,-0.04032,,-0.0018059311796591558,-11.91883045300947,-8638369753917312.0,-41.86111930710561
128,2018-09-04,-0.00196412,0.00348,-0.06374,,-0.0024026919416378248,45.641149677583485,3.3079179074092736e+16,108.81128442320724
129,2018-09-16,0.000309071,0.0048,-0.02859,,-0.0014036622569765607,67.5631658090172,4.896752330730138e+16,88.55174420796098
130,2018-09-22,-0.0130333,0.01296,0.04213,,-0.001502929141908953,63.95135151030973,4.634980108046637e+16,-52.760484815035134
131,2018-09-28,0.000763845,0.00669,0.01146,,-4.841651816094474e-05,114.50889472136821,8.299221778641933e+16,-45.16174301925793
132,2018-10-04,-0.0145507,0.01353,-0.00016,,-0.002598457533298052,87.04415443827065,6.308669243340122e+16,82.847488505284
133,2018-10-10,0.00155822,-0.00342,0.00476,,-2.7015749476144505e-05,95.99418311675838,6.957337393606656e+16,-119.06152681397555
134,2018-10-16,-0.0169648,0.01889,0.02115,,-0.001609155973638442,131.22174676760025,9.5105134081945e+16,79.96589537578082
135,2018-10-22,-0.000160939,-0.00295,0.02792,,-0.0009330542969559781,124.20553173851208,9.002001604681498e+16,-59.64272022009926
136,2018-10-28,-0.0152876,0.01796,0.07511,,-0.0006248785675689427,22.91809980424878,1.661027237083424e+16,-20.420248964207115
137,2018-11-03,8.66221e-05,-0.0017,-0.07831,,-0.0016644048747519215,-24.42568114827286,-1.7702916916381856e+16,55.83223535224639
138,2018-11-09,-0.0178796,0.01282,0.01646,,-7.190944941563537e-05,-46.79060658493139,-3.391226700340029e+16,-104.33621451945243
139,2018-11-15,-0.00113366,-0.0023,-0.02323,,-0.0013033646902790566,9.04401340221774,6554798487632992.0,87.05304276434788
140,2018-11-21,-0.0151628,0.0085,0.04231,,-0.00014842325771915178,-46.070639849086305,-3.339045918850848e+16,-72.31489564491953
141,2018-11-27,0.000792567,-0.00368,-0.08557,,-0.0010166647348325588,-84.49109626204314,-6.123632123998045e+16,28.791530534538403
142,2018-12-03,-0.0175636,0.00998,0.04536,,-0.0002829582488107326,43.08003708731726,3.122297031071139e+16,23.840063040767593
143,2018-12-09,0.000734754,-0.00248,-0.06367,,-0.00017966198698729876,1.5292560573165939,1108353652952832.0,-89.1728286172626
